Researcher	First Name	Surname	Title	Name	Department	Europe	North America	Latin Am. & Carribean	S SE & E Asia	Central & Western Asia	Northern Africa	Subsaharan Africa	Oceania	Artic	Critique of knowledge production	Managing Metabolic processes	Empowerment and inequality	Imagining the future	Understanding the past	Biodiversity	Air	Built Environment	Energy	Representations	Transport	Waste	Water	Food	Abiotic resources	Environment / climate	Human Wellbeing (IRIS)	Materials (IRIS)	Global Health (IRIS)	Intercultural Interaction (IRIS)	"Energy, Envir. & Transport (IRIS)"	Public Policy & Governance (IRIS)	Sustainable Cities (IRIS)	Risk & Security (IRIS)	Systems Engineering (IRIS)
CJOHN80	Charlotte	Johnson	Ms	Etienne Von Bertrab	UCL Energy Institute	1											1					1	1												1		1	1	
CJOHN96	Cassidy	Johnson	Dr	Franco Cacialli	Development Planning Unit	1	1			1						1	1	1				1	1										1			1	1	1	
CJRED25	Catherine	Redgwell	Prof	Francesco Caravelli 	Faculty of Laws	1			1								1						1																
CLDWY97	Claire	Dwyer	Dr	Filipa Wunderlich	Geography	1	1								1	1	1					1		1															
CLEVY74	Caren	Levy	Ms	Felix Ciuta	Development Planning Unit	1		1	1		1	1			1	1	1	1	1			1													1	1	1		
CMARX96	Colin	Marx	Dr	Michael Fell	Development Planning Unit						1	1			1	1	1					1															1		
CMASO14	Christos	Masouros	Dr	Francesca Medda	Electronic & Electrical Eng													1					1																
CMCAN46	Claire	McAndrew	Dr	Fuzhan Nasiri	The Bartlett School of Graduate Studies										1	1						1		1															
CMCOL44	Claire	Colomb	Dr	Fulong Wu	School of Planning	1										1	1					1														1	1		
CMDIL73	Catherine	Dillon	Dr	Fangzhu Zhang	The Bartlett School of Graduate Studies											1	1		1			1		1															
CPRAM80	Claudia	Ramirez Brinez	Ms	Gabrial Anandarajah	"Civil, Environmental and Geomatic Engineering"			1								1		1					1		1														
CSBFI72	Caroline	Fitzpatrick	Prof	Graham Shields	"Civil, Environmental and Geomatic Engineering"											1											1								1		1		1
CSDEM13	Claudio	De Magalhaes	Dr	Gemma Moore	School of Planning	1										1						1														1	1		
CSHOL54	Catherine	Holloway	Dr	Ger Duijzings	"Civil, Environmental and Geomatic Engineering"	1										1	1					1			1						1						1		
CSHRU11	Clive	Shrubsole	Mr	Alex Gibberd	The Bartlett School of Graduate Studies	1										1		1					1			1					1				1		1		
CSILVA12	0	0	0	Yeoryia Manolopoulou	School of Planning											1			1			1																	
CSPAT02	Catalina	Spataru	Dr	George Manos	UCL Energy Institute	1										1		1					1												1	1	1	1	1
CSPIN26	Charlotte	Lemanski	Dr	Gesche Huebner	Geography				1			1			1		1					1														1	1	1	
CSTYA03	Craig	Styan	Dr	Gillian Owen	UCL Australia								1										1				1												
CTHOM22	Claire	Thomson	Dr	Joel Guilbald	"School of European Languages, Culture and Society"	1									1									1													1		
CTURC04	Catalina	Turcu	Dr	Hector Altamirano	School of Planning	1			1								1					1	1												1	1	1		
DAJEE50	Diman	Ajeeb	0	Herv_ Borrion	School of Planning	1										1	1					1																	
DASMI57	Duncan 	Smith	Dr	Hannah Daly	Centre for Advanced Spatial Analysis	1										1						1		1	1										1		1		
DAVVI73	Deborah	Villarroel-Lamb	Dr	Harry Dimitriou	"Civil, Environmental and Geomatic Engineering"											1		1									1												
DBRET49	Dan	Brett	Dr	Andy Chow	Chemical Engineering											1		1					1									1			1		1		
DDAYA16	Dina	D'Ayala	Dr	Hayley Newman	"Civil, Environmental and Geomatic Engineering"	1			1	1		1						1	1			1																	
DJBAL01	David Joseph	Balding	Prof	Helene Joffe	UCL Genetics Institute																						1												
DJMUR72	David 	Murrel	Dr	Hilary Powell	"Genetics, Evolution & Environment"										1			1	1	1																			
DMUMO03	Dejan	Mumovic	Dr	Hedley Smyth	School of Architecture	1												1				1	1								1				1		1		
DNAVA11	Navaz	Davoodian	Dr	Helena Titheridge	The Bartlett School of Graduate Studies											1						1	1		1														
DPHAW05	David	Hawkins	0	Stephen Hugel	Economics	1										1						1	1						1										
DRDOD27	David	Dodman	Dr	Ian Hamilton	Development Planning Unit											1						1															1		
DSATT65	David	Satterthwaite	Dr	Iqbal Hamiduddin	Development Planning Unit			1	1			1					1			1		1								1			1			1	1		
DTSHI69	David	Shipworth	Dr	Ilkka Keppo	UCL Energy Institute	1							1		1	1		1				1	1												1		1		
EARCA37	Elsa	Arcaute	Dr	Iain Borden	Centre for Advanced Spatial Analysis										1							1															1		
EBESU25	Elena	Besussi	Miss	Ioannis Papakonstantinou	School of Planning	1										1	1					1														1	1		
EBULD04	Eugeny	Buldakov	Dr	Ine Steenmans	"Civil, Environmental and Geomatic Engineering"											1											1												
EDENI72	Edward	Denison	Mr	James Cheshire	School of Architecture	1			1										1			1																	
EGRAH26	Elizabeth	Graham	Prof	Adrian Forty	Institute of Archaeology			1											1			1															1		
ELETI04	Emmanuel	Letier	Dr	Jessica Ferm	Computer Science											1		1						1													1		1
EMORR68	0	0	0	Jane Holder	"Civil, Environmental and Geomatic Engineering"			1								1		1							1														
EMPCI45	Elisabete	Cidre	Dr	Jochen Blumberger	School of Planning	1													1			1																	
EMUKP74	Ema	Muk-Pavic	Ms	Julio Davila	Mechanical Engineering													1					1												1				1
EOIKO81	Eleni	Oikonomou	Ms	Jennifer Robinson	UCL Energy Institute	1										1		1				1	1							1	1				1		1		
EPOLY45	Eleftheria	Polykarpou	Miss	John Twigg	UCL Australia											1							1				1												
ESFRA78	Eric	Fraga	Prof	John Eade	Chemical Engineering										1								1				1								1				1
essi 	Essi	 Viitanen	0	Jack Stilgoe	Sch of Slavonic & East European Studies	1									1		1					1																	
