URL,Researcher,Name,Title,Department,Europe,North America,Latin Am. & Carribean,S SE & E Asia,Central & Western Asia,Northern Africa,Subsaharan Africa,Oceania,Artic,Critique of knowledge production,Managing Metabolic processes,Empowerment and inequality,Imagining the future,Understanding the past,Biodiversity,Air,Built Environment,Energy,Representations,Transport,Waste,Water,Food,Abiotic resources,Environment / climate,Human Wellbeing (IRIS),Materials (IRIS),Global Health (IRIS),Intercultural Interaction (IRIS),"Energy, Envir. & Transport (IRIS)",Public Policy & Governance (IRIS),Sustainable Cities (IRIS),Risk & Security (IRIS),Systems Engineering (IRIS)
http://iris.ucl.ac.uk/iris/browse/profile?upi=AKAMA15,AKAMA15,Kamalasudhan Achuthan,Mr,"Civil, Environmental and Geomatic Engineering",1,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,1,1,1
http://iris.ucl.ac.uk/iris/browse/profile?upi=AMACM87,AMACM87,Alexandra Macmillan,Dr,The Bartlett School of Graduate Studies,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,1,,,,1,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AMAVR49,AMAVR49,Anna Mavrogianni,Dr,The Bartlett School of Graduate Studies,,,,,,,,,,,,,1,,,,1,1,,,1,,,,1,,,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AMSTO79,AMSTO79,Andrew Stone,Dr,The Bartlett School of Graduate Studies,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
http://sabinaandron.com/,ANDRO84,Sabina Andron,,School of Architecture,1,,,,,,,,,1,1,,,,,,1,,1,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=AOWEN09,AOWEN09,Tony Owen,Prof,UCL Australia,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=APENN20,APENN20,Alan Penn,Prof,Built Environment Faculty Office,1,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=APSMI28,APSMI28,Andrew Smith,Mr,UCL Energy Institute,1,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=ARGRE06,ARGRE06,Alistair Greig,Dr,Mechanical Engineering,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,1,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=ARLAT03,ARLAT03,Alan  Latham,Dr,Geography,,,,,,,,,,1,1,,,,,,1,,1,1,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=ASCHA90,ASCHA90,Andreas Schafer,Prof,UCL Energy Institute,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,1
http://iris.ucl.ac.uk/iris/browse/profile?upi=ASUMM34,ASUMM34,Alexander Summerfield,Dr,UCL Energy Institute,1,,,,,,,,,,1,,,1,,,1,1,,1,,,,,,,,,,1,,1,,
